,Minute_of_day,reference,November,Active_Occupancy,Total_lighting,CHEST_FREEZER,FRIDGE_FREEZER,FRIDGE,UPRIGHT_FREEZER,ANSWER_MACHINE,CD_PLAYER,CLOCK,PHONE,HIFI,IRON,VACUUM,FAX,PC,PRINTER,TV1,TV2,TV3,VCR_DVD,RECEIVER,HOB,OVEN,MICROWAVE,KETTLE,SMALL_COOKING
26,27,00:26:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
27,28,00:27:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
28,29,00:28:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
29,30,00:29:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
30,31,00:30:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
31,32,00:31:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
32,33,00:32:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
33,34,00:33:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
34,35,00:34:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
35,36,00:35:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
36,37,00:36:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
37,38,00:37:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
38,39,00:38:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
39,40,00:39:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
40,41,00:40:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
41,42,00:41:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
42,43,00:42:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
43,44,00:43:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
44,45,00:44:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
45,46,00:45:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
46,47,00:46:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
47,48,00:47:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
48,49,00:48:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
49,50,00:49:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
50,51,00:50:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
51,52,00:51:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
52,53,00:52:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
53,54,00:53:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
54,55,00:54:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
55,56,00:55:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
56,57,00:56:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
57,58,00:57:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
58,59,00:58:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
59,60,00:59:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
60,61,01:00:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
61,62,01:01:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
62,63,01:02:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
63,64,01:03:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
64,65,01:04:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
65,66,01:05:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
66,67,01:06:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
67,68,01:07:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
68,69,01:08:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
69,70,01:09:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
70,71,01:10:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
71,72,01:11:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
72,73,01:12:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
73,74,01:13:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
74,75,01:14:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
75,76,01:15:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
76,77,01:16:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
77,78,01:17:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
78,79,01:18:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
79,80,01:19:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
80,81,01:20:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
81,82,01:21:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
82,83,01:22:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
83,84,01:23:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
84,85,01:24:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
85,86,01:25:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
86,87,01:26:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
87,88,01:27:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
88,89,01:28:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
89,90,01:29:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
90,91,01:30:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
91,92,01:31:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
92,93,01:32:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
93,94,01:33:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
94,95,01:34:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
95,96,01:35:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
96,97,01:36:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
97,98,01:37:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
98,99,01:38:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
99,100,01:39:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
100,101,01:40:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
101,102,01:41:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
102,103,01:42:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
103,104,01:43:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
104,105,01:44:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
105,106,01:45:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
106,107,01:46:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
107,108,01:47:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
108,109,01:48:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
109,110,01:49:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
110,111,01:50:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
111,112,01:51:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
112,113,01:52:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
113,114,01:53:00,0,0,0.0,0.0,198.85881812308486,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
114,115,01:54:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
115,116,01:55:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
116,117,01:56:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
117,118,01:57:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
118,119,01:58:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
119,120,01:59:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
120,121,02:00:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
121,122,02:01:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
122,123,02:02:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
123,124,02:03:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
124,125,02:04:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
125,126,02:05:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
126,127,02:06:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
127,128,02:07:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
128,129,02:08:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
129,130,02:09:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
130,131,02:10:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
131,132,02:11:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
132,133,02:12:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
133,134,02:13:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
134,135,02:14:00,0,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2,1,9.0,0,0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,2
