senario,Number_of_EVs,EV,Arrival,Depart,Type,BatteryCapacity,Distance,Demand,alloc_charger,delay
9,10,10,4.0,17.0,sedan,24,20.509459765373176,9.0,19,0
10,10,1,2.0,17.0,sedan,24,34.76724592535981,15.0,19,0
10,10,2,14.0,16.0,sedan,24,64.15192989337636,24,19,0
10,10,3,9.0,16.0,small,16,10.399973908733546,4.0,8,0
10,10,4,8.0,16.0,suv,54,50.403196020080415,29.0,19,0
10,10,5,11.0,16.0,suv,54,67.38289948834516,39.0,19,0
10,10,6,7.0,17.0,sedan,24,12.947672199904364,6.0,19,0
10,10,7,9.0,16.0,truck,70,42.68296711989203,35.0,19,0
10,10,8,12.0,16.0,sedan,24,66.16393348489004,24,8,0
10,10,9,6.0,17.0,sedan,24,70.23008478492689,24,19,0
10,10,10,12.0,18.0,suv,54,26.724664414322532,15.0,19,0
11,10,1,4.0,17.0,truck,70,31.19119628511719,26.0,19,0
11,10,2,8.0,17.0,suv,54,15.863010315156536,9.0,19,0
11,10,3,9.0,16.0,small,16,27.775705902046063,11.0,19,0
11,10,4,12.0,19.0,truck,70,32.71905085237489,27.0,19,0
11,10,5,7.0,16.0,suv,54,41.66225254337484,24.0,19,0
11,10,6,8.0,16.0,truck,70,41.652856486112995,34.0,19,0
11,10,7,9.0,17.0,truck,70,54.78701903020945,45.0,19,0
11,10,8,12.0,16.0,suv,54,42.89521928823465,25.0,19,0
11,10,9,9.0,17.0,suv,54,14.233484870294248,8.0,19,0
11,10,10,10.0,17.0,truck,70,48.57523172596804,40.0,19,0
12,10,1,10.0,16.0,sedan,24,23.477055792123682,10.0,19,0
12,10,2,10.0,17.0,sedan,24,35.803963205596254,15.0,19,0
12,10,3,6.0,16.0,truck,70,25.711349631709787,21.0,19,0
12,10,4,11.0,17.0,truck,70,43.923797823837674,36.0,19,0
12,10,5,12.0,17.0,small,16,37.27925169072159,14.0,19,0
12,10,6,11.0,16.0,suv,54,51.251205231940006,29.0,19,0
12,10,7,10.0,16.0,sedan,24,13.969502014994319,6.0,19,0
12,10,8,12.0,16.0,small,16,55.76770328279814,16,19,0
12,10,9,10.0,16.0,sedan,24,41.90396891748842,18.0,19,0
12,10,10,9.0,16.0,sedan,24,49.87144471027122,21.0,19,0
13,10,1,7.0,17.0,sedan,24,33.668158420572055,14.0,8,0
13,10,2,10.0,17.0,suv,54,30.171751592269885,17.0,19,0
13,10,3,9.0,17.0,truck,70,28.86565842389351,24.0,19,0
13,10,4,11.0,16.0,suv,54,23.823510181533763,14.0,19,0
13,10,5,8.0,16.0,sedan,24,22.545903677156222,10.0,8,0
13,10,6,10.0,16.0,suv,54,45.704498421241055,26.0,19,0
13,10,7,9.0,16.0,sedan,24,14.249984090112005,6.0,8,0
13,10,8,10.0,16.0,small,16,35.90531500514014,14.0,8,0
13,10,9,9.0,16.0,sedan,24,38.261877852596,16.0,19,0
13,10,10,12.0,17.0,small,16,25.439128260821057,10.0,8,0
14,10,1,11.0,17.0,suv,54,21.670855830353506,12.0,19,0
14,10,2,10.0,16.0,truck,70,36.30808844566931,30.0,19,0
14,10,3,5.0,17.0,small,16,63.392429292644636,16,19,0
14,10,4,11.0,17.0,sedan,24,42.38371587740378,18.0,19,0
14,10,5,7.0,16.0,suv,54,24.25723844778474,14.0,19,0
14,10,6,5.0,17.0,small,16,52.46153048198282,16,19,0
14,10,7,7.0,16.0,truck,70,55.739214697561806,46.0,19,0
14,10,8,11.0,16.0,suv,54,45.05478375298756,26.0,19,0
14,10,9,8.0,16.0,sedan,24,49.75239939961826,21.0,19,0
14,10,10,7.0,17.0,truck,70,58.72461396907538,48.0,19,0
15,10,1,10.0,19.0,sedan,24,23.733528767172295,10.0,19,0
15,10,2,4.0,17.0,small,16,53.022708590788376,16,19,0
15,10,3,8.0,18.0,truck,70,59.20741714915938,48.0,19,0
15,10,4,4.0,16.0,suv,54,21.04580736497663,12.0,19,0
15,10,5,9.0,16.0,suv,54,42.9589002866568,25.0,19,0
15,10,6,9.0,17.0,small,16,49.70697125908021,16,4,0
15,10,7,10.0,17.0,sedan,24,36.81135269367761,16.0,19,0
15,10,8,6.0,17.0,sedan,24,46.215728647292515,20.0,19,0
15,10,9,11.0,17.0,truck,70,21.128293330395586,17.0,19,0
15,10,10,9.0,16.0,small,16,46.220422314621075,16,4,0
16,10,1,11.0,16.0,truck,70,35.690496780526246,29.0,19,0
16,10,2,8.0,16.0,truck,70,51.27293410390604,42.0,19,0
16,10,3,8.0,16.0,small,16,27.8030937654127,11.0,4,0
16,10,4,8.0,16.0,sedan,24,57.9361857992356,24,19,0
16,10,5,5.0,16.0,small,16,77.415472498047,16,4,0
16,10,6,9.0,16.0,sedan,24,25.452364678416057,11.0,4,0
16,10,7,9.0,17.0,sedan,24,39.88695320507761,17.0,19,0
16,10,8,8.0,17.0,sedan,24,49.06721912301824,21.0,4,0
16,10,9,8.0,17.0,small,16,37.741994634422014,14.0,4,0
16,10,10,10.0,17.0,sedan,24,36.532591797777066,16.0,19,0
17,10,1,9.0,16.0,small,16,29.74541633290976,11.0,8,0
17,10,2,10.0,16.0,truck,70,19.651170107969506,16.0,19,0
17,10,3,7.0,17.0,truck,70,22.84262210317301,19.0,19,0
17,10,4,10.0,16.0,small,16,16.487759538884593,6.0,8,0
17,10,5,8.0,16.0,truck,70,11.950348105890612,10.0,8,0
17,10,6,8.0,16.0,sedan,24,47.39865723536686,20.0,19,0
17,10,7,11.0,16.0,suv,54,60.28554528117699,35.0,19,0
17,10,8,9.0,16.0,suv,54,22.893962246568904,13.0,19,0
17,10,9,9.0,16.0,small,16,37.07261042946403,14.0,8,0
17,10,10,9.0,16.0,sedan,24,48.44678239167787,21.0,19,0
18,10,1,13.0,17.0,sedan,24,46.707360594909176,20.0,8,0
18,10,2,7.0,17.0,suv,54,10.767424704852917,6.0,8,0
18,10,3,9.0,16.0,sedan,24,38.22692108343768,16.0,8,0
18,10,4,7.0,17.0,small,16,35.76269015169956,14.0,19,0
18,10,5,7.0,16.0,small,16,55.19491494028417,16,19,0
18,10,6,7.0,18.0,small,16,41.805075653339266,16.0,19,0
18,10,7,8.0,16.0,sedan,24,65.46552142940567,24,19,0
18,10,8,10.0,16.0,sedan,24,26.9332413599907,12.0,19,0
18,10,9,7.0,16.0,small,16,36.86530277728973,14.0,8,0
18,10,10,8.0,16.0,truck,70,41.027839417521946,34.0,19,0
19,10,1,8.0,16.0,sedan,24,37.970185532283686,16.0,19,0
19,10,2,10.0,17.0,sedan,24,57.08816661688044,24,8,0
19,10,3,13.0,16.0,small,16,46.065793169547966,16,19,0
19,10,4,10.0,17.0,small,16,52.16662212490282,16,8,0
19,10,5,10.0,16.0,small,16,42.14897551488241,16.0,19,0
19,10,6,5.0,17.0,suv,54,54.13246214634859,31.0,8,0
19,10,7,8.0,16.0,truck,70,44.15372246322702,36.0,19,0
19,10,8,9.0,16.0,small,16,40.09971368179476,15.0,8,0
19,10,9,1.0,16.0,sedan,24,39.91335423935096,17.0,8,0
19,10,10,6.0,17.0,sedan,24,30.265181362135877,13.0,19,0
20,10,1,9.0,16.0,sedan,24,31.413151138854573,13.0,19,0
20,10,2,6.0,17.0,sedan,24,39.721212041488336,17.0,19,0
20,10,3,8.0,16.0,suv,54,40.099936758668036,23.0,8,0
20,10,4,8.0,16.0,sedan,24,55.63238772805389,24.0,8,0
20,10,5,7.0,16.0,suv,54,28.069841168850864,16.0,19,0
20,10,6,7.0,16.0,suv,54,22.27115914561849,13.0,19,0
20,10,7,7.0,16.0,sedan,24,37.47414151188315,16.0,19,0
20,10,8,10.0,16.0,truck,70,44.7014145048654,37.0,19,0
20,10,9,10.0,16.0,suv,54,61.70442027300842,35.0,19,0
20,10,10,10.0,16.0,sedan,24,19.385878920433647,8.0,8,0
21,10,1,10.0,16.0,suv,54,35.20907895763621,20.0,8,0
21,10,2,11.0,16.0,truck,70,48.35366921480805,40.0,19,0
21,10,3,9.0,16.0,suv,54,41.48186799376314,24.0,19,0
21,10,4,8.0,16.0,sedan,24,35.58881693648236,15.0,19,0
21,10,5,12.0,16.0,sedan,24,51.200457388797545,22.0,8,0
21,10,6,12.0,17.0,suv,54,43.619063564874,25.0,19,0
21,10,7,7.0,17.0,suv,54,14.44676281417792,8.0,19,0
21,10,8,10.0,17.0,truck,70,60.249596525862,49.0,19,0
21,10,9,4.0,16.0,sedan,24,61.031191325515316,24,19,0
21,10,10,13.0,16.0,truck,70,30.97056000085258,25.0,19,0
22,10,1,11.0,17.0,suv,54,21.670855830353506,12.0,19,0
22,10,2,10.0,16.0,truck,70,36.30808844566931,30.0,19,0
22,10,3,5.0,17.0,small,16,63.392429292644636,16,19,0
22,10,4,11.0,17.0,sedan,24,42.38371587740378,18.0,19,0
22,10,5,7.0,16.0,suv,54,24.25723844778474,14.0,19,0
22,10,6,5.0,17.0,small,16,52.46153048198282,16,19,0
22,10,7,7.0,16.0,truck,70,55.739214697561806,46.0,19,0
22,10,8,11.0,16.0,suv,54,45.05478375298756,26.0,19,0
22,10,9,8.0,16.0,sedan,24,49.75239939961826,21.0,19,0
22,10,10,7.0,17.0,truck,70,58.72461396907538,48.0,19,0
23,10,1,10.0,19.0,sedan,24,23.733528767172295,10.0,19,0
23,10,2,4.0,17.0,small,16,53.022708590788376,16,19,0
23,10,3,8.0,18.0,truck,70,59.20741714915938,48.0,19,0
23,10,4,4.0,16.0,suv,54,21.04580736497663,12.0,19,0
23,10,5,9.0,16.0,suv,54,42.9589002866568,25.0,19,0
23,10,6,9.0,17.0,small,16,49.70697125908021,16,4,0
23,10,7,10.0,17.0,sedan,24,36.81135269367761,16.0,19,0
23,10,8,6.0,17.0,sedan,24,46.215728647292515,20.0,19,0
23,10,9,11.0,17.0,truck,70,21.128293330395586,17.0,19,0
23,10,10,9.0,16.0,small,16,46.220422314621075,16,4,0
24,10,1,11.0,16.0,truck,70,35.690496780526246,29.0,19,0
24,10,2,8.0,16.0,truck,70,51.27293410390604,42.0,19,0
24,10,3,8.0,16.0,small,16,27.8030937654127,11.0,4,0
24,10,4,8.0,16.0,sedan,24,57.9361857992356,24,19,0
24,10,5,5.0,16.0,small,16,77.415472498047,16,4,0
24,10,6,9.0,16.0,sedan,24,25.452364678416057,11.0,4,0
24,10,7,9.0,17.0,sedan,24,39.88695320507761,17.0,19,0
24,10,8,8.0,17.0,sedan,24,49.06721912301824,21.0,4,0
24,10,9,8.0,17.0,small,16,37.741994634422014,14.0,4,0
24,10,10,10.0,17.0,sedan,24,36.532591797777066,16.0,19,0
25,10,1,9.0,16.0,small,16,29.74541633290976,11.0,8,0
25,10,2,10.0,16.0,truck,70,19.651170107969506,16.0,19,0
25,10,3,7.0,17.0,truck,70,22.84262210317301,19.0,19,0
25,10,4,10.0,16.0,small,16,16.487759538884593,6.0,8,0
25,10,5,8.0,16.0,truck,70,11.950348105890612,10.0,8,0
25,10,6,8.0,16.0,sedan,24,47.39865723536686,20.0,19,0
25,10,7,11.0,16.0,suv,54,60.28554528117699,35.0,19,0
25,10,8,9.0,16.0,suv,54,22.893962246568904,13.0,19,0
25,10,9,9.0,16.0,small,16,37.07261042946403,14.0,8,0
25,10,10,9.0,16.0,sedan,24,48.44678239167787,21.0,19,0
26,10,1,13.0,17.0,sedan,24,46.707360594909176,20.0,8,0
26,10,2,7.0,17.0,suv,54,10.767424704852917,6.0,8,0
26,10,3,9.0,16.0,sedan,24,38.22692108343768,16.0,8,0
26,10,4,7.0,17.0,small,16,35.76269015169956,14.0,19,0
26,10,5,7.0,16.0,small,16,55.19491494028417,16,19,0
26,10,6,7.0,18.0,small,16,41.805075653339266,16.0,19,0
26,10,7,8.0,16.0,sedan,24,65.46552142940567,24,19,0
26,10,8,10.0,16.0,sedan,24,26.9332413599907,12.0,19,0
26,10,9,7.0,16.0,small,16,36.86530277728973,14.0,8,0
26,10,10,8.0,16.0,truck,70,41.027839417521946,34.0,19,0
27,10,1,8.0,16.0,sedan,24,37.970185532283686,16.0,19,0
27,10,2,10.0,17.0,sedan,24,57.08816661688044,24,8,0
27,10,3,13.0,16.0,small,16,46.065793169547966,16,19,0
27,10,4,10.0,17.0,small,16,52.16662212490282,16,8,0
27,10,5,10.0,16.0,small,16,42.14897551488241,16.0,19,0
27,10,6,5.0,17.0,suv,54,54.13246214634859,31.0,8,0
27,10,7,8.0,16.0,truck,70,44.15372246322702,36.0,19,0
27,10,8,9.0,16.0,small,16,40.09971368179476,15.0,8,0
27,10,9,1.0,16.0,sedan,24,39.91335423935096,17.0,8,0
27,10,10,6.0,17.0,sedan,24,30.265181362135877,13.0,19,0
28,10,1,9.0,16.0,sedan,24,31.413151138854573,13.0,19,0
28,10,2,6.0,17.0,sedan,24,39.721212041488336,17.0,19,0
28,10,3,8.0,16.0,suv,54,40.099936758668036,23.0,8,0
28,10,4,8.0,16.0,sedan,24,55.63238772805389,24.0,8,0
28,10,5,7.0,16.0,suv,54,28.069841168850864,16.0,19,0
28,10,6,7.0,16.0,suv,54,22.27115914561849,13.0,19,0
28,10,7,7.0,16.0,sedan,24,37.47414151188315,16.0,19,0
28,10,8,10.0,16.0,truck,70,44.7014145048654,37.0,19,0
28,10,9,10.0,16.0,suv,54,61.70442027300842,35.0,19,0
28,10,10,10.0,16.0,sedan,24,19.385878920433647,8.0,8,0
29,10,1,10.0,16.0,suv,54,35.20907895763621,20.0,8,0
29,10,2,11.0,16.0,truck,70,48.35366921480805,40.0,19,0
29,10,3,9.0,16.0,suv,54,41.48186799376314,24.0,19,0
29,10,4,8.0,16.0,sedan,24,35.58881693648236,15.0,19,0
29,10,5,12.0,16.0,sedan,24,51.200457388797545,22.0,8,0
29,10,6,12.0,17.0,suv,54,43.619063564874,25.0,19,0
29,10,7,7.0,17.0,suv,54,14.44676281417792,8.0,19,0
29,10,8,10.0,17.0,truck,70,60.249596525862,49.0,19,0
29,10,9,4.0,16.0,sedan,24,61.031191325515316,24,19,0
29,10,10,13.0,16.0,truck,70,30.97056000085258,25.0,19,0
30,10,1,11.0,17.0,suv,54,21.670855830353506,12.0,19,0
30,10,2,10.0,16.0,truck,70,36.30808844566931,30.0,19,0
30,10,3,5.0,17.0,small,16,63.392429292644636,16,19,0
30,10,4,11.0,17.0,sedan,24,42.38371587740378,18.0,19,0
30,10,5,7.0,16.0,suv,54,24.25723844778474,14.0,19,0
30,10,6,5.0,17.0,small,16,52.46153048198282,16,19,0
30,10,7,7.0,16.0,truck,70,55.739214697561806,46.0,19,0
30,10,8,11.0,16.0,suv,54,45.05478375298756,26.0,19,0
30,10,9,8.0,16.0,sedan,24,49.75239939961826,21.0,19,0
30,10,10,7.0,17.0,truck,70,58.72461396907538,48.0,19,0
31,10,1,10.0,19.0,sedan,24,23.733528767172295,10.0,19,0
31,10,2,4.0,17.0,small,16,53.022708590788376,16,19,0
31,10,3,8.0,18.0,truck,70,59.20741714915938,48.0,19,0
31,10,4,4.0,16.0,suv,54,21.04580736497663,12.0,19,0
31,10,5,9.0,16.0,suv,54,42.9589002866568,25.0,19,0
31,10,6,9.0,17.0,small,16,49.70697125908021,16,4,0
31,10,7,10.0,17.0,sedan,24,36.81135269367761,16.0,19,0
31,10,8,6.0,17.0,sedan,24,46.215728647292515,20.0,19,0
31,10,9,11.0,17.0,truck,70,21.128293330395586,17.0,19,0
31,10,10,9.0,16.0,small,16,46.220422314621075,16,4,0
32,10,1,11.0,16.0,truck,70,35.690496780526246,29.0,19,0
32,10,2,8.0,16.0,truck,70,51.27293410390604,42.0,19,0
32,10,3,8.0,16.0,small,16,27.8030937654127,11.0,4,0
32,10,4,8.0,16.0,sedan,24,57.9361857992356,24,19,0
32,10,5,5.0,16.0,small,16,77.415472498047,16,4,0
32,10,6,9.0,16.0,sedan,24,25.452364678416057,11.0,4,0
32,10,7,9.0,17.0,sedan,24,39.88695320507761,17.0,19,0
32,10,8,8.0,17.0,sedan,24,49.06721912301824,21.0,4,0
32,10,9,8.0,17.0,small,16,37.741994634422014,14.0,4,0
32,10,10,10.0,17.0,sedan,24,36.532591797777066,16.0,19,0
33,10,1,9.0,16.0,small,16,29.74541633290976,11.0,8,0
33,10,2,10.0,16.0,truck,70,19.651170107969506,16.0,19,0
33,10,3,7.0,17.0,truck,70,22.84262210317301,19.0,19,0
33,10,4,10.0,16.0,small,16,16.487759538884593,6.0,8,0
33,10,5,8.0,16.0,truck,70,11.950348105890612,10.0,8,0
33,10,6,8.0,16.0,sedan,24,47.39865723536686,20.0,19,0
33,10,7,11.0,16.0,suv,54,60.28554528117699,35.0,19,0
33,10,8,9.0,16.0,suv,54,22.893962246568904,13.0,19,0
33,10,9,9.0,16.0,small,16,37.07261042946403,14.0,8,0
33,10,10,9.0,16.0,sedan,24,48.44678239167787,21.0,19,0
34,10,1,13.0,17.0,sedan,24,46.707360594909176,20.0,8,0
34,10,2,7.0,17.0,suv,54,10.767424704852917,6.0,8,0
34,10,3,9.0,16.0,sedan,24,38.22692108343768,16.0,8,0
34,10,4,7.0,17.0,small,16,35.76269015169956,14.0,19,0
34,10,5,7.0,16.0,small,16,55.19491494028417,16,19,0
34,10,6,7.0,18.0,small,16,41.805075653339266,16.0,19,0
34,10,7,8.0,16.0,sedan,24,65.46552142940567,24,19,0
34,10,8,10.0,16.0,sedan,24,26.9332413599907,12.0,19,0
34,10,9,7.0,16.0,small,16,36.86530277728973,14.0,8,0
34,10,10,8.0,16.0,truck,70,41.027839417521946,34.0,19,0
35,10,1,8.0,16.0,sedan,24,37.970185532283686,16.0,19,0
35,10,2,10.0,17.0,sedan,24,57.08816661688044,24,8,0
35,10,3,13.0,16.0,small,16,46.065793169547966,16,19,0
35,10,4,10.0,17.0,small,16,52.16662212490282,16,8,0
35,10,5,10.0,16.0,small,16,42.14897551488241,16.0,19,0
35,10,6,5.0,17.0,suv,54,54.13246214634859,31.0,8,0
35,10,7,8.0,16.0,truck,70,44.15372246322702,36.0,19,0
35,10,8,9.0,16.0,small,16,40.09971368179476,15.0,8,0
35,10,9,1.0,16.0,sedan,24,39.91335423935096,17.0,8,0
35,10,10,6.0,17.0,sedan,24,30.265181362135877,13.0,19,0
36,10,1,9.0,16.0,sedan,24,31.413151138854573,13.0,19,0
36,10,2,6.0,17.0,sedan,24,39.721212041488336,17.0,19,0
36,10,3,8.0,16.0,suv,54,40.099936758668036,23.0,8,0
36,10,4,8.0,16.0,sedan,24,55.63238772805389,24.0,8,0
36,10,5,7.0,16.0,suv,54,28.069841168850864,16.0,19,0
36,10,6,7.0,16.0,suv,54,22.27115914561849,13.0,19,0
36,10,7,7.0,16.0,sedan,24,37.47414151188315,16.0,19,0
36,10,8,10.0,16.0,truck,70,44.7014145048654,37.0,19,0
36,10,9,10.0,16.0,suv,54,61.70442027300842,35.0,19,0
36,10,10,10.0,16.0,sedan,24,19.385878920433647,8.0,8,0
37,10,1,10.0,16.0,suv,54,35.20907895763621,20.0,8,0
37,10,2,11.0,16.0,truck,70,48.35366921480805,40.0,19,0
37,10,3,9.0,16.0,suv,54,41.48186799376314,24.0,19,0
37,10,4,8.0,16.0,sedan,24,35.58881693648236,15.0,19,0
37,10,5,12.0,16.0,sedan,24,51.200457388797545,22.0,8,0
37,10,6,12.0,17.0,suv,54,43.619063564874,25.0,19,0
37,10,7,7.0,17.0,suv,54,14.44676281417792,8.0,19,0
37,10,8,10.0,17.0,truck,70,60.249596525862,49.0,19,0
37,10,9,4.0,16.0,sedan,24,61.031191325515316,24,19,0
37,10,10,13.0,16.0,truck,70,30.97056000085258,25.0,19,0
38,10,1,11.0,17.0,suv,54,21.670855830353506,12.0,19,0
38,10,2,10.0,16.0,truck,70,36.30808844566931,30.0,19,0
38,10,3,5.0,17.0,small,16,63.392429292644636,16,19,0
38,10,4,11.0,17.0,sedan,24,42.38371587740378,18.0,19,0
38,10,5,7.0,16.0,suv,54,24.25723844778474,14.0,19,0
38,10,6,5.0,17.0,small,16,52.46153048198282,16,19,0
38,10,7,7.0,16.0,truck,70,55.739214697561806,46.0,19,0
38,10,8,11.0,16.0,suv,54,45.05478375298756,26.0,19,0
38,10,9,8.0,16.0,sedan,24,49.75239939961826,21.0,19,0
38,10,10,7.0,17.0,truck,70,58.72461396907538,48.0,19,0
39,10,1,10.0,19.0,sedan,24,23.733528767172295,10.0,19,0
39,10,2,4.0,17.0,small,16,53.022708590788376,16,19,0
39,10,3,8.0,18.0,truck,70,59.20741714915938,48.0,19,0
39,10,4,4.0,16.0,suv,54,21.04580736497663,12.0,19,0
39,10,5,9.0,16.0,suv,54,42.9589002866568,25.0,19,0
39,10,6,9.0,17.0,small,16,49.70697125908021,16,4,0
39,10,7,10.0,17.0,sedan,24,36.81135269367761,16.0,19,0
39,10,8,6.0,17.0,sedan,24,46.215728647292515,20.0,19,0
39,10,9,11.0,17.0,truck,70,21.128293330395586,17.0,19,0
39,10,10,9.0,16.0,small,16,46.220422314621075,16,4,0
40,10,1,11.0,16.0,truck,70,35.690496780526246,29.0,19,0
40,10,2,8.0,16.0,truck,70,51.27293410390604,42.0,19,0
40,10,3,8.0,16.0,small,16,27.8030937654127,11.0,4,0
40,10,4,8.0,16.0,sedan,24,57.9361857992356,24,19,0
40,10,5,5.0,16.0,small,16,77.415472498047,16,4,0
40,10,6,9.0,16.0,sedan,24,25.452364678416057,11.0,4,0
40,10,7,9.0,17.0,sedan,24,39.88695320507761,17.0,19,0
40,10,8,8.0,17.0,sedan,24,49.06721912301824,21.0,4,0
40,10,9,8.0,17.0,small,16,37.741994634422014,14.0,4,0
40,10,10,10.0,17.0,sedan,24,36.532591797777066,16.0,19,0
