senario,EV,Arrival,Depart,Type,BatteryCapacity,Distance,Demand,alloc_charger,delay
5,1,6.0,16.0,small,16,41.0,16.0,11,0
5,2,9.0,19.0,truck,70,61.0,50.0,11,0
5,3,9.0,17.0,truck,70,32.0,26.0,11,0
5,4,8.0,19.0,sedan,24,58.0,24,11,0
5,5,10.0,21.0,truck,70,52.0,43.0,11,0
5,6,8.0,16.0,small,16,26.0,10.0,11,0
5,7,9.0,18.0,small,16,70.0,16,11,0
5,8,11.0,17.0,suv,54,43.0,25.0,11,0
5,9,11.0,20.0,truck,70,33.0,27.0,11,0
5,10,8.0,17.0,suv,54,57.0,33.0,11,0
6,1,6.0,22.0,sedan,24,39.0,17.0,11,0
6,2,11.0,17.0,small,16,65.0,16,11,0
6,3,9.0,22.0,small,16,48.0,16,11,0
6,4,8.0,21.0,suv,54,50.0,29.0,11,0
6,5,8.0,19.0,suv,54,39.0,22.0,11,0
6,6,7.0,20.0,small,16,44.0,16,11,0
6,7,7.0,17.0,truck,70,45.0,37.0,11,0
6,8,9.0,20.0,small,16,26.0,10.0,11,0
6,9,7.0,18.0,truck,70,51.0,42.0,11,0
6,10,8.0,16.0,sedan,24,34.0,15.0,11,0
7,1,8.0,21.0,suv,54,41.0,24.0,20,0
7,2,9.0,17.0,suv,54,35.0,20.0,20,0
7,3,10.0,15.0,suv,54,37.0,21.0,11,0
7,4,10.0,20.0,sedan,24,44.0,19.0,20,0
7,5,6.0,15.0,small,16,28.0,11.0,20,0
7,6,8.0,21.0,truck,70,67.0,55.0,20,0
7,7,10.0,22.0,small,16,26.0,10.0,11,0
7,8,9.0,20.0,small,16,39.0,15.0,11,0
7,9,9.0,17.0,sedan,24,19.0,8.0,11,0
7,10,11.0,16.0,small,16,49.0,16,11,0
8,1,9.0,17.0,truck,70,38.0,31.0,11,0
8,2,10.0,15.0,suv,54,29.0,17.0,11,0
8,3,7.0,18.0,truck,70,25.0,20.0,11,0
8,4,9.0,22.0,truck,70,40.0,33.0,11,0
8,5,9.0,19.0,sedan,24,41.0,18.0,11,0
8,6,10.0,21.0,truck,70,46.0,38.0,11,0
8,7,9.0,17.0,small,16,50.0,16,11,0
8,8,11.0,19.0,sedan,24,45.0,19.0,11,0
8,9,8.0,16.0,truck,70,39.0,32.0,11,0
8,10,7.0,19.0,sedan,24,46.0,20.0,11,0
9,1,11.0,18.0,suv,54,52.0,30.0,11,0
9,2,11.0,19.0,truck,70,42.0,34.0,11,0
9,3,8.0,17.0,suv,54,55.0,32.0,11,0
9,4,9.0,22.0,suv,54,64.0,37.0,11,0
9,5,9.0,16.0,small,16,54.0,16,11,0
9,6,10.0,21.0,small,16,40.0,15.0,11,0
9,7,10.0,20.0,small,16,53.0,16,11,0
9,8,10.0,18.0,small,16,44.0,16,11,0
9,9,10.0,21.0,sedan,24,64.0,24,11,0
9,10,8.0,19.0,sedan,24,55.0,24.0,11,0
10,1,8.0,18.0,suv,54,42.0,24.0,11,0
10,2,8.0,18.0,sedan,24,47.0,20.0,11,0
10,3,11.0,20.0,truck,70,54.0,44.0,11,0
10,4,11.0,19.0,sedan,24,37.0,16.0,11,0
10,5,10.0,17.0,suv,54,46.0,26.0,11,0
10,6,6.0,19.0,sedan,24,43.0,18.0,11,0
10,7,7.0,16.0,truck,70,22.0,18.0,11,0
10,8,9.0,18.0,suv,54,27.0,15.0,11,0
10,9,6.0,18.0,sedan,24,45.0,19.0,11,0
10,10,10.0,20.0,truck,70,20.0,16.0,11,0
11,1,10.0,19.0,truck,70,68.0,56.0,11,0
11,2,10.0,20.0,sedan,24,43.0,18.0,11,0
11,3,9.0,15.0,suv,54,50.0,29.0,11,0
11,4,10.0,21.0,small,16,65.0,16,11,0
11,5,8.0,20.0,suv,54,37.0,21.0,11,0
11,6,7.0,19.0,small,16,39.0,15.0,11,0
11,7,9.0,17.0,truck,70,31.0,25.0,11,0
11,8,8.0,17.0,suv,54,42.0,24.0,11,0
11,9,6.0,19.0,suv,54,56.0,32.0,11,0
11,10,9.0,18.0,small,16,48.0,16,11,0
12,1,8.0,19.0,suv,54,54.0,31.0,11,0
12,2,9.0,22.0,suv,54,57.0,33.0,11,0
12,3,8.0,22.0,small,16,41.0,16.0,11,0
12,4,10.0,17.0,small,16,54.0,16,11,0
12,5,10.0,21.0,suv,54,27.0,15.0,11,0
12,6,9.0,20.0,small,16,55.0,16,11,0
12,7,9.0,18.0,suv,54,36.0,21.0,11,0
12,8,9.0,21.0,sedan,24,25.0,11.0,11,0
12,9,10.0,18.0,truck,70,19.0,16.0,11,0
12,10,10.0,21.0,truck,70,54.0,44.0,11,0
13,1,10.0,21.0,sedan,24,40.0,17.0,11,0
13,2,7.0,15.0,sedan,24,38.0,16.0,11,0
13,3,10.0,16.0,truck,70,20.0,16.0,11,0
13,4,9.0,21.0,small,16,45.0,16,11,0
13,5,7.0,16.0,truck,70,45.0,37.0,11,0
13,6,8.0,15.0,truck,70,74.0,61.0,11,0
13,7,7.0,18.0,sedan,24,30.0,13.0,11,0
13,8,7.0,19.0,sedan,24,62.0,24,11,0
13,9,8.0,17.0,suv,54,47.0,27.0,11,0
13,10,11.0,21.0,truck,70,-7.0,-6.0,11,0
14,1,7.0,16.0,small,16,76.0,16,NAN,0
14,2,7.0,17.0,suv,54,55.0,32.0,11,0
14,3,8.0,16.0,small,16,36.0,14.0,11,0
14,4,7.0,19.0,small,16,46.0,16,20,0
14,5,8.0,20.0,suv,54,30.0,17.0,NAN,0
14,6,8.0,17.0,suv,54,16.0,9.0,NAN,0
14,7,9.0,19.0,suv,54,39.0,22.0,11,0
14,8,11.0,15.0,sedan,24,32.0,14.0,20,0
14,9,8.0,16.0,sedan,24,40.0,17.0,NAN,0
14,10,11.0,18.0,sedan,24,33.0,14.0,20,0
15,1,9.0,21.0,truck,70,50.0,41.0,11,0
15,2,7.0,16.0,sedan,24,38.0,16.0,11,0
15,3,8.0,16.0,suv,54,32.0,18.0,11,0
15,4,10.0,16.0,small,16,55.0,16,11,0
15,5,6.0,17.0,suv,54,33.0,19.0,11,0
15,6,7.0,22.0,small,16,23.0,9.0,11,0
15,7,9.0,21.0,small,16,64.0,16,11,0
15,8,10.0,16.0,suv,54,63.0,36.0,11,0
15,9,7.0,21.0,sedan,24,36.0,15.0,11,0
15,10,9.0,17.0,suv,54,27.0,15.0,11,0
16,1,7.0,16.0,small,16,33.0,13.0,11,0
16,2,9.0,18.0,suv,54,27.0,15.0,11,0
16,3,7.0,18.0,sedan,24,35.0,15.0,11,0
16,4,6.0,17.0,suv,54,47.0,27.0,11,0
16,5,9.0,16.0,sedan,24,21.0,9.0,11,0
16,6,6.0,20.0,sedan,24,30.0,13.0,11,0
16,7,11.0,22.0,small,16,39.0,15.0,11,0
16,8,7.0,20.0,small,16,35.0,13.0,11,0
16,9,11.0,15.0,suv,54,32.0,18.0,11,0
16,10,6.0,19.0,sedan,24,14.0,6.0,11,0
17,1,10.0,19.0,sedan,24,28.0,12.0,20,0
17,2,6.0,20.0,suv,54,37.0,21.0,11,0
17,3,7.0,20.0,small,16,27.0,10.0,20,0
17,4,9.0,18.0,suv,54,14.0,8.0,11,0
17,5,6.0,20.0,small,16,52.0,16,11,0
17,6,9.0,18.0,suv,54,59.0,34.0,20,0
17,7,6.0,21.0,suv,54,48.0,28.0,11,0
17,8,11.0,20.0,small,16,32.0,12.0,11,0
17,9,11.0,18.0,sedan,24,33.0,14.0,20,0
17,10,9.0,21.0,sedan,24,60.0,24,20,0
18,1,9.0,21.0,sedan,24,33.0,14.0,11,0
18,2,10.0,16.0,sedan,24,49.0,21.0,11,0
18,3,8.0,19.0,truck,70,26.0,21.0,11,0
18,4,9.0,16.0,small,16,65.0,16,11,0
18,5,6.0,22.0,small,16,34.0,13.0,11,0
18,6,7.0,20.0,suv,54,42.0,24.0,11,0
18,7,7.0,18.0,sedan,24,19.0,8.0,11,0
18,8,7.0,19.0,suv,54,46.0,26.0,11,0
18,9,11.0,20.0,sedan,24,35.0,15.0,11,0
18,10,7.0,16.0,truck,70,16.0,13.0,11,0
19,1,7.0,21.0,suv,54,54.0,31.0,11,0
19,2,8.0,18.0,truck,70,-3.0,-2.0,11,0
19,3,8.0,15.0,sedan,24,54.0,23.0,20,0
19,4,10.0,19.0,sedan,24,31.0,13.0,20,0
19,5,8.0,18.0,sedan,24,20.0,9.0,11,0
19,6,6.0,17.0,small,16,25.0,9.0,11,0
19,7,8.0,19.0,small,16,42.0,16.0,20,0
19,8,10.0,17.0,suv,54,92.0,53.0,11,0
19,9,9.0,17.0,sedan,24,30.0,13.0,20,0
19,10,10.0,22.0,suv,54,25.0,14.0,20,0
20,1,8.0,20.0,small,16,51.0,16,11,0
20,2,10.0,20.0,truck,70,44.0,36.0,11,0
20,3,8.0,21.0,suv,54,55.0,32.0,11,0
20,4,7.0,21.0,suv,54,33.0,19.0,11,0
20,5,7.0,18.0,suv,54,46.0,26.0,11,0
20,6,10.0,18.0,truck,70,45.0,37.0,11,0
20,7,9.0,21.0,sedan,24,54.0,23.0,11,0
20,8,8.0,19.0,truck,70,35.0,29.0,11,0
20,9,6.0,17.0,small,16,31.0,12.0,11,0
20,10,11.0,22.0,truck,70,37.0,30.0,11,0
21,1,9.0,19.0,suv,54,34.0,20.0,11,0
21,2,9.0,16.0,sedan,24,43.0,18.0,11,0
21,3,9.0,17.0,sedan,24,61.0,24,11,0
21,4,10.0,17.0,truck,70,51.0,42.0,11,0
21,5,9.0,16.0,small,16,38.0,14.0,11,0
21,6,7.0,19.0,sedan,24,51.0,22.0,11,0
21,7,7.0,18.0,truck,70,52.0,43.0,11,0
21,8,9.0,22.0,sedan,24,26.0,11.0,11,0
21,9,9.0,19.0,suv,54,53.0,30.0,11,0
21,10,9.0,16.0,suv,54,54.0,31.0,11,0
22,1,7.0,18.0,suv,54,48.0,28.0,11,0
22,2,10.0,17.0,sedan,24,51.0,22.0,11,0
22,3,10.0,16.0,suv,54,16.0,9.0,11,0
22,4,6.0,18.0,suv,54,33.0,19.0,20,0
22,5,10.0,16.0,small,16,26.0,10.0,20,0
22,6,9.0,21.0,suv,54,39.0,22.0,11,0
22,7,9.0,17.0,suv,54,44.0,25.0,20,0
22,8,10.0,21.0,suv,54,11.0,6.0,20,0
22,9,11.0,17.0,sedan,24,43.0,18.0,20,0
22,10,10.0,17.0,sedan,24,4.0,2.0,11,0
23,1,8.0,18.0,sedan,24,89.0,24,11,0
23,2,7.0,22.0,truck,70,34.0,28.0,11,0
23,3,7.0,17.0,sedan,24,24.0,10.0,11,0
23,4,7.0,20.0,truck,70,34.0,28.0,11,0
23,5,8.0,20.0,suv,54,42.0,24.0,11,0
23,6,10.0,22.0,small,16,39.0,15.0,11,0
23,7,7.0,16.0,sedan,24,53.0,23.0,11,0
23,8,8.0,18.0,suv,54,46.0,26.0,11,0
23,9,9.0,18.0,suv,54,46.0,26.0,11,0
23,10,10.0,18.0,truck,70,24.0,20.0,11,0
24,1,10.0,16.0,sedan,24,39.0,17.0,11,0
24,2,8.0,17.0,truck,70,54.0,44.0,11,0
24,3,9.0,20.0,truck,70,48.0,39.0,11,0
24,4,11.0,18.0,truck,70,28.0,23.0,11,0
24,5,10.0,19.0,suv,54,46.0,26.0,11,0
24,6,10.0,20.0,suv,54,34.0,20.0,11,0
24,7,7.0,19.0,sedan,24,41.0,18.0,11,0
24,8,11.0,15.0,truck,70,32.0,26.0,11,0
24,9,9.0,19.0,sedan,24,32.0,14.0,11,0
24,10,9.0,20.0,small,16,27.0,10.0,11,0
25,1,10.0,18.0,suv,54,46.0,26.0,11,0
25,2,10.0,18.0,suv,54,31.0,18.0,11,0
25,3,7.0,22.0,small,16,58.0,16,11,0
25,4,10.0,22.0,suv,54,32.0,18.0,11,0
25,5,7.0,17.0,suv,54,50.0,29.0,11,0
25,6,10.0,19.0,suv,54,42.0,24.0,11,0
25,7,10.0,21.0,truck,70,63.0,52.0,11,0
25,8,7.0,19.0,truck,70,48.0,39.0,11,0
25,9,6.0,15.0,truck,70,30.0,25.0,11,0
25,10,11.0,18.0,suv,54,4.0,2.0,11,0
26,1,11.0,16.0,small,16,34.0,13.0,20,0
26,2,8.0,21.0,sedan,24,63.0,24,11,0
26,3,7.0,21.0,truck,70,29.0,24.0,20,0
26,4,10.0,20.0,small,16,55.0,16,11,0
26,5,10.0,18.0,sedan,24,37.0,16.0,11,0
26,6,9.0,18.0,small,16,34.0,13.0,11,0
26,7,8.0,18.0,truck,70,36.0,29.0,20,0
26,8,7.0,20.0,truck,70,27.0,22.0,11,0
26,9,9.0,19.0,truck,70,31.0,25.0,20,0
26,10,9.0,20.0,small,16,34.0,13.0,11,0
27,1,6.0,20.0,sedan,24,42.0,18.0,11,0
27,2,8.0,15.0,small,16,46.0,16,11,0
27,3,10.0,22.0,truck,70,39.0,32.0,11,0
27,4,8.0,20.0,truck,70,43.0,35.0,11,0
27,5,9.0,20.0,small,16,44.0,16,11,0
27,6,7.0,18.0,small,16,23.0,9.0,11,0
27,7,9.0,16.0,small,16,17.0,6.0,11,0
27,8,7.0,22.0,sedan,24,27.0,12.0,11,0
27,9,7.0,17.0,suv,54,40.0,23.0,11,0
27,10,11.0,15.0,suv,54,35.0,20.0,11,0
28,1,7.0,18.0,suv,54,56.0,32.0,20,0
28,2,10.0,18.0,small,16,31.0,12.0,11,0
28,3,8.0,21.0,small,16,45.0,16,11,0
28,4,9.0,22.0,sedan,24,27.0,12.0,20,0
28,5,9.0,20.0,sedan,24,57.0,24,20,0
28,6,8.0,21.0,small,16,28.0,11.0,11,0
28,7,7.0,19.0,suv,54,60.0,34.0,20,0
28,8,9.0,21.0,truck,70,23.0,19.0,20,0
28,9,8.0,21.0,suv,54,56.0,32.0,20,0
28,10,10.0,21.0,sedan,24,14.0,6.0,11,0
29,1,6.0,17.0,suv,54,48.0,28.0,11,0
29,2,8.0,19.0,suv,54,38.0,22.0,11,0
29,3,6.0,19.0,truck,70,33.0,27.0,11,0
29,4,10.0,22.0,suv,54,75.0,43.0,11,0
29,5,11.0,16.0,truck,70,50.0,41.0,11,0
29,6,10.0,17.0,small,16,51.0,16,11,0
29,7,10.0,18.0,small,16,31.0,12.0,11,0
29,8,9.0,18.0,suv,54,34.0,20.0,11,0
29,9,9.0,16.0,suv,54,36.0,21.0,11,0
29,10,9.0,19.0,truck,70,29.0,24.0,11,0
30,1,9.0,21.0,sedan,24,49.0,21.0,11,0
30,2,11.0,16.0,small,16,20.0,8.0,11,0
30,3,9.0,17.0,small,16,37.0,14.0,11,0
30,4,8.0,19.0,suv,54,40.0,23.0,11,0
30,5,10.0,21.0,small,16,59.0,16,11,0
30,6,9.0,19.0,suv,54,31.0,18.0,11,0
30,7,11.0,16.0,suv,54,57.0,33.0,11,0
30,8,8.0,21.0,sedan,24,49.0,21.0,11,0
30,9,8.0,20.0,truck,70,55.0,45.0,11,0
30,10,8.0,21.0,suv,54,62.0,36.0,11,0
31,1,10.0,15.0,suv,54,30.0,17.0,20,0
31,2,7.0,21.0,suv,54,23.0,13.0,11,0
31,3,7.0,20.0,sedan,24,9.0,4.0,11,0
31,4,7.0,19.0,truck,70,32.0,26.0,20,0
31,5,8.0,16.0,truck,70,42.0,34.0,20,0
31,6,7.0,19.0,sedan,24,47.0,20.0,11,0
31,7,6.0,17.0,suv,54,48.0,28.0,20,0
31,8,6.0,18.0,sedan,24,45.0,19.0,11,0
31,9,11.0,17.0,small,16,39.0,15.0,20,0
31,10,10.0,21.0,small,16,25.0,9.0,11,0
32,1,9.0,16.0,suv,54,29.0,17.0,11,0
32,2,6.0,21.0,truck,70,17.0,14.0,11,0
32,3,6.0,17.0,suv,54,50.0,29.0,11,0
32,4,10.0,18.0,suv,54,27.0,15.0,11,0
32,5,9.0,19.0,suv,54,41.0,24.0,11,0
32,6,8.0,20.0,truck,70,51.0,42.0,11,0
32,7,7.0,19.0,truck,70,16.0,13.0,11,0
32,8,9.0,22.0,suv,54,34.0,20.0,11,0
32,9,9.0,16.0,truck,70,9.0,7.0,11,0
32,10,10.0,19.0,truck,70,34.0,28.0,11,0
33,1,8.0,20.0,sedan,24,19.0,8.0,11,0
33,2,10.0,16.0,small,16,49.0,16,11,0
33,3,11.0,19.0,sedan,24,36.0,15.0,11,0
33,4,8.0,18.0,truck,70,56.0,46.0,11,0
33,5,8.0,17.0,small,16,29.0,11.0,11,0
33,6,7.0,19.0,small,16,47.0,16,11,0
33,7,11.0,16.0,suv,54,52.0,30.0,11,0
33,8,10.0,18.0,truck,70,54.0,44.0,11,0
33,9,6.0,18.0,sedan,24,65.0,24,11,0
33,10,8.0,20.0,sedan,24,51.0,22.0,11,0
34,1,7.0,15.0,truck,70,53.0,43.0,11,0
34,2,8.0,17.0,suv,54,42.0,24.0,11,0
34,3,11.0,15.0,sedan,24,36.0,15.0,11,0
34,4,8.0,21.0,suv,54,38.0,22.0,11,0
34,5,8.0,21.0,small,16,48.0,16,NAN,0
34,6,7.0,18.0,sedan,24,19.0,8.0,NAN,0
34,7,7.0,22.0,sedan,24,33.0,14.0,11,0
34,8,8.0,17.0,truck,70,24.0,20.0,11,0
34,9,7.0,17.0,suv,54,27.0,15.0,NAN,0
34,10,6.0,18.0,suv,54,51.0,29.0,11,0
35,1,8.0,22.0,small,16,38.0,14.0,11,0
35,2,10.0,20.0,small,16,36.0,14.0,11,0
35,3,8.0,16.0,suv,54,61.0,35.0,11,0
35,4,6.0,17.0,small,16,43.0,16,11,0
35,5,7.0,21.0,small,16,48.0,16,11,0
35,6,8.0,17.0,truck,70,44.0,36.0,11,0
35,7,9.0,21.0,suv,54,46.0,26.0,11,0
35,8,8.0,20.0,sedan,24,22.0,9.0,11,0
35,9,7.0,18.0,sedan,24,33.0,14.0,11,0
35,10,7.0,20.0,suv,54,47.0,27.0,11,0
36,1,6.0,17.0,sedan,24,48.0,21.0,11,0
36,2,7.0,17.0,suv,54,56.0,32.0,11,0
36,3,7.0,21.0,small,16,25.0,9.0,11,0
36,4,10.0,16.0,small,16,32.0,12.0,11,0
36,5,9.0,16.0,suv,54,40.0,23.0,11,0
36,6,7.0,16.0,suv,54,40.0,23.0,11,0
36,7,8.0,21.0,sedan,24,11.0,5.0,11,0
36,8,10.0,20.0,sedan,24,44.0,19.0,11,0
36,9,8.0,18.0,truck,70,41.0,34.0,11,0
36,10,9.0,16.0,sedan,24,52.0,22.0,11,0
37,1,10.0,22.0,small,16,24.0,9.0,11,0
37,2,9.0,17.0,suv,54,56.0,32.0,11,0
37,3,9.0,20.0,small,16,43.0,16,11,0
37,4,8.0,17.0,truck,70,31.0,25.0,11,0
37,5,8.0,17.0,sedan,24,34.0,15.0,11,0
37,6,8.0,20.0,small,16,40.0,15.0,11,0
37,7,9.0,17.0,truck,70,46.0,38.0,11,0
37,8,7.0,22.0,suv,54,25.0,14.0,11,0
37,9,11.0,15.0,truck,70,35.0,29.0,11,0
37,10,8.0,19.0,truck,70,57.0,47.0,11,0
38,1,8.0,16.0,suv,54,53.0,30.0,11,0
38,2,8.0,17.0,small,16,54.0,16,11,0
38,3,10.0,19.0,sedan,24,71.0,24,11,0
38,4,9.0,18.0,truck,70,49.0,40.0,11,0
38,5,7.0,21.0,sedan,24,28.0,12.0,11,0
38,6,7.0,17.0,small,16,45.0,16,11,0
38,7,7.0,17.0,sedan,24,36.0,15.0,11,0
38,8,9.0,20.0,truck,70,40.0,33.0,11,0
38,9,10.0,18.0,small,16,54.0,16,11,0
38,10,7.0,17.0,suv,54,53.0,30.0,11,0
39,1,7.0,21.0,truck,70,56.0,46.0,11,0
39,2,6.0,21.0,sedan,24,35.0,15.0,11,0
39,3,6.0,20.0,suv,54,45.0,26.0,11,0
39,4,8.0,15.0,truck,70,41.0,34.0,11,0
39,5,7.0,17.0,sedan,24,63.0,24,11,0
39,6,9.0,16.0,truck,70,58.0,47.0,11,0
39,7,11.0,15.0,sedan,24,29.0,12.0,11,0
39,8,7.0,18.0,truck,70,23.0,19.0,11,0
39,9,6.0,16.0,suv,54,41.0,24.0,11,0
39,10,9.0,19.0,suv,54,65.0,37.0,11,0
40,1,10.0,16.0,small,16,60.0,16,11,0
40,2,11.0,18.0,truck,70,48.0,39.0,11,0
40,3,7.0,20.0,suv,54,33.0,19.0,11,0
40,4,8.0,20.0,suv,54,48.0,28.0,11,0
40,5,7.0,15.0,truck,70,31.0,25.0,11,0
40,6,10.0,20.0,small,16,39.0,15.0,11,0
40,7,10.0,19.0,suv,54,49.0,28.0,11,0
40,8,11.0,20.0,truck,70,23.0,19.0,11,0
40,9,8.0,20.0,small,16,41.0,16.0,11,0
40,10,9.0,22.0,small,16,25.0,9.0,11,0
41,1,11.0,20.0,sedan,24,68.0,24,11,0
41,2,8.0,18.0,sedan,24,22.0,9.0,11,0
41,3,6.0,18.0,truck,70,53.0,43.0,11,0
41,4,10.0,21.0,suv,54,55.0,32.0,11,0
41,5,10.0,20.0,sedan,24,48.0,21.0,11,0
41,6,10.0,21.0,truck,70,17.0,14.0,11,0
41,7,8.0,16.0,small,16,53.0,16,11,0
41,8,7.0,19.0,truck,70,37.0,30.0,11,0
41,9,6.0,19.0,suv,54,31.0,18.0,11,0
41,10,8.0,16.0,sedan,24,17.0,7.0,11,0
42,1,10.0,20.0,small,16,45.0,16,11,0
42,2,9.0,17.0,sedan,24,38.0,16.0,11,0
42,3,6.0,16.0,suv,54,21.0,12.0,11,0
42,4,9.0,19.0,truck,70,47.0,38.0,11,0
42,5,10.0,19.0,small,16,30.0,11.0,11,0
42,6,6.0,18.0,truck,70,40.0,33.0,11,0
42,7,9.0,17.0,sedan,24,23.0,10.0,11,0
42,8,11.0,22.0,truck,70,47.0,38.0,11,0
42,9,10.0,20.0,sedan,24,20.0,9.0,11,0
42,10,10.0,17.0,suv,54,41.0,24.0,11,0
43,1,9.0,19.0,truck,70,38.0,31.0,11,0
43,2,10.0,21.0,sedan,24,42.0,18.0,11,0
43,3,8.0,17.0,sedan,24,27.0,12.0,11,0
43,4,10.0,15.0,suv,54,86.0,49.0,11,0
43,5,6.0,17.0,small,16,37.0,14.0,11,0
43,6,9.0,20.0,suv,54,36.0,21.0,11,0
43,7,6.0,18.0,truck,70,48.0,39.0,11,0
43,8,7.0,17.0,sedan,24,32.0,14.0,11,0
43,9,6.0,15.0,suv,54,24.0,14.0,11,0
43,10,10.0,19.0,small,16,47.0,16,11,0
44,1,9.0,21.0,small,16,24.0,9.0,11,0
44,2,7.0,20.0,suv,54,25.0,14.0,11,0
44,3,9.0,18.0,suv,54,53.0,30.0,11,0
44,4,6.0,21.0,small,16,74.0,16,11,0
44,5,9.0,20.0,truck,70,55.0,45.0,11,0
44,6,8.0,22.0,small,16,21.0,8.0,11,0
44,7,8.0,17.0,small,16,13.0,5.0,11,0
44,8,10.0,20.0,sedan,24,57.0,24,11,0
44,9,7.0,18.0,truck,70,52.0,43.0,11,0
44,10,7.0,18.0,sedan,24,52.0,22.0,11,0
45,1,8.0,16.0,sedan,24,48.0,21.0,11,0
45,2,8.0,16.0,sedan,24,32.0,14.0,11,0
45,3,6.0,17.0,small,16,37.0,14.0,11,0
45,4,8.0,16.0,sedan,24,45.0,19.0,11,0
45,5,9.0,21.0,truck,70,54.0,44.0,11,0
45,6,7.0,16.0,sedan,24,24.0,10.0,11,0
45,7,10.0,22.0,sedan,24,24.0,10.0,11,0
45,8,8.0,18.0,sedan,24,36.0,15.0,11,0
45,9,9.0,21.0,sedan,24,50.0,21.0,11,0
45,10,8.0,18.0,small,16,29.0,11.0,11,0
46,1,9.0,21.0,sedan,24,65.0,24,11,0
46,2,9.0,17.0,small,16,35.0,13.0,11,0
46,3,7.0,19.0,sedan,24,14.0,6.0,11,0
46,4,9.0,17.0,sedan,24,23.0,10.0,20,0
46,5,8.0,16.0,sedan,24,27.0,12.0,20,0
46,6,10.0,18.0,sedan,24,39.0,17.0,20,0
46,7,8.0,16.0,small,16,43.0,16,11,0
46,8,9.0,17.0,small,16,26.0,10.0,11,0
46,9,7.0,19.0,truck,70,32.0,26.0,20,0
46,10,10.0,16.0,truck,70,41.0,34.0,20,0
47,1,11.0,19.0,truck,70,11.0,9.0,11,0
47,2,9.0,20.0,suv,54,53.0,30.0,11,0
47,3,10.0,19.0,sedan,24,14.0,6.0,11,0
47,4,6.0,21.0,truck,70,21.0,17.0,11,0
47,5,10.0,18.0,suv,54,58.0,33.0,11,0
47,6,8.0,16.0,small,16,46.0,16,11,0
47,7,6.0,20.0,suv,54,55.0,32.0,11,0
47,8,9.0,19.0,truck,70,52.0,43.0,11,0
47,9,9.0,19.0,small,16,53.0,16,11,0
47,10,8.0,18.0,sedan,24,74.0,24,11,0
48,1,7.0,21.0,suv,54,26.0,15.0,11,0
48,2,7.0,18.0,suv,54,42.0,24.0,11,0
48,3,6.0,16.0,sedan,24,35.0,15.0,11,0
48,4,10.0,18.0,sedan,24,47.0,20.0,11,0
48,5,10.0,17.0,suv,54,40.0,23.0,11,0
48,6,10.0,19.0,suv,54,73.0,42.0,11,0
48,7,11.0,21.0,sedan,24,58.0,24,11,0
48,8,11.0,20.0,small,16,28.0,11.0,11,0
48,9,9.0,17.0,suv,54,38.0,22.0,11,0
48,10,6.0,22.0,sedan,24,16.0,7.0,11,0
49,1,7.0,17.0,small,16,47.0,16,11,0
49,2,11.0,15.0,small,16,52.0,16,11,0
49,3,10.0,16.0,truck,70,51.0,42.0,11,0
